epoch,loss,lr,mae,mse,root_mean_squared_error,val_loss,val_mae,val_mse,val_root_mean_squared_error
0,0.05697707459330559,0.012007998,0.13153356313705444,0.05697707459330559,0.23869869112968445,0.003106182673946023,0.047618940472602844,0.003106182673946023,0.05573314055800438
1,0.0029280667658895254,0.012007998,0.04599061608314514,0.0029280667658895254,0.05411160737276077,0.0027058832347393036,0.04434133693575859,0.0027058832347393036,0.05201810598373413
2,0.002837113570421934,0.012007998,0.044605594128370285,0.002837113570421934,0.0532645545899868,0.0028084288351237774,0.04270218312740326,0.0028084288351237774,0.052994612604379654
3,0.0025981192011386156,0.012007998,0.04256686940789223,0.0025981192011386156,0.05097174644470215,0.002730185864493251,0.04163007065653801,0.002730185864493251,0.0522511824965477
4,0.00248288013972342,0.012007998,0.04113037884235382,0.00248288013972342,0.04982850328087807,0.0026537200901657343,0.043643414974212646,0.0026537200901657343,0.05151427164673805
5,0.0022962018847465515,0.012007998,0.03923741728067398,0.0022962018847465515,0.04791869595646858,0.0023803208023309708,0.03831470385193825,0.0023803208023309708,0.04878852516412735
6,0.0021363135892897844,0.012007998,0.03713047504425049,0.0021363135892897844,0.04622026905417442,0.002024515764787793,0.03491455689072609,0.002024515764787793,0.044994622468948364
7,0.0019222324481233954,0.012007998,0.034342292696237564,0.0019222324481233954,0.04384326562285423,0.0017783154034987092,0.0318123959004879,0.0017783154034987092,0.042170070111751556
8,0.0017866558628156781,0.012007998,0.031928494572639465,0.0017866558628156781,0.042268842458724976,0.0016345761250704527,0.030443457886576653,0.0016345761250704527,0.040429893881082535
9,0.0018606377998366952,0.012007998,0.03242410346865654,0.0018606377998366952,0.043135106563568115,0.0015581455081701279,0.028512245044112206,0.0015581455081701279,0.03947335481643677
10,0.0017055898206308484,0.012007998,0.030705556273460388,0.0017055898206308484,0.04129879176616669,0.0015429503982886672,0.029321540147066116,0.0015429503982886672,0.03928040340542793
11,0.0014473185874521732,0.012007998,0.027954207733273506,0.0014473185874521732,0.03804364055395126,0.0013507602270692587,0.026797307655215263,0.0013507602270692587,0.03675268590450287
12,0.0013168585719540715,0.012007998,0.02624022401869297,0.0013168585719540715,0.0362885445356369,0.0018830588087439537,0.03379746153950691,0.0018830588087439537,0.04339422658085823
13,0.0012548762606456876,0.012007998,0.025966200977563858,0.0012548762606456876,0.03542422875761986,0.0012202204670757055,0.024777796119451523,0.0012202204670757055,0.03493165969848633
14,0.0012412503128871322,0.012007998,0.025993576273322105,0.0012412503128871322,0.03523137792944908,0.001444646972231567,0.030089274048805237,0.001444646972231567,0.03800851106643677
15,0.0012165479129180312,0.012007998,0.02600092627108097,0.0012165479129180312,0.03487904742360115,0.0014191858936101198,0.02980290912091732,0.0014191858936101198,0.03767208009958267
16,0.0011794519377872348,0.012007998,0.025626182556152344,0.0011794519377872348,0.03434314578771591,0.0014623396564275026,0.02847914956510067,0.0014623396564275026,0.038240548223257065
17,0.0011547901667654514,0.012007998,0.025461331009864807,0.0011547901667654514,0.03398220241069794,0.0010576300555840135,0.0239420123398304,0.0010576300555840135,0.03252122551202774
18,0.0011076865484938025,0.012007998,0.024737698957324028,0.0011076865484938025,0.033281926065683365,0.0013591366587206721,0.02924681454896927,0.0013591366587206721,0.03686647117137909
19,0.0011083041317760944,0.012007998,0.024964334443211555,0.0011083041317760944,0.03329120948910713,0.0010644372086971998,0.02449657768011093,0.0010644372086971998,0.0326257161796093
